element,DFT,UMA,ESEN,Z,DFT_minus_UMA,DFT_minus_ESEN
H,-3.411156573125,-3.462769625,-3.97837975,1,0.05161305187499998,0.5672231768750002
Li,-2.07962393,-3.858357,-4.113194,3,1.77873307,2.03357007
Be,-4.135146455,-7.364087,-7.431084,4,3.2289405449999995,3.295937545
B,-6.911346598333334,-6.65496725,-7.310323583333333,5,-0.25637934833333365,0.3989769849999991
C,-9.36708809,-9.1997365,-9.3199605,6,-0.1673515899999991,-0.047127589999998776
N,-8.37904653875,-8.104948375,-8.353673625,7,-0.2740981637500006,-0.02537291374999917
O,-5.000326885,-5.046346375,-6.5499285,8,0.04601948999999994,1.5496016150000003
F,-1.8423217675,-2.4253455,-4.2495315,9,0.5830237325000001,2.4072097324999997
Mg,-1.799895085,-5.6675175,-5.3440875,12,3.8676224149999996,3.5441924149999995
Al,-4.08374668,-9.451648,-8.89676,13,5.3679013200000005,4.8130133200000005
Si,-5.736448715,-5.973804499999999,-6.8889925,14,0.2373557849999992,1.1525437849999998
P,-5.718668193095239,-8.58869232142857,-7.272447619047618,15,2.8700241283333314,1.5537794259523787
S,-4.3232890709375,-4.34897765625,-4.551832125,16,0.025688585312499512,0.22854305406249953
Cl,-1.979960735,-2.5259855,-2.4932235,17,0.5460247650000001,0.5132627650000001
Sc,-6.647915305,-9.0420615,-11.9326795,21,2.394146195000001,5.284764195000001
Fe,-8.59748216,-9.609411,-8.652029,26,1.0119288399999995,0.05454684000000043
Co,-7.44059286,-7.669271,-6.874729,27,0.22867814000000042,-0.5658638599999994
Ni,-5.9393377,-5.565187999999999,-5.581487,28,-0.37414970000000114,-0.3578507000000002
Cu,-4.31780956,-3.7029445,-3.838399,29,-0.6148650599999996,-0.4794105599999998
Zn,-1.523534855,-3.226589333333333,-2.730359,30,1.703054478333333,1.206824145
As,-5.042350175,-3.52944175,-4.14120025,33,-1.512908425,-0.9011499250000004
Se,-3.8266973,-3.79142815625,-4.010725,34,-0.03526914375000034,0.18402769999999968
Br,-1.840467295,-1.72368725,-2.218314,35,-0.11678004500000005,0.37784670499999984
Sr,-1.83268752,-6.5478283333333325,-6.989987,38,4.715140813333333,5.157299480000001
Y,-6.78014671,-12.8992635,-14.043305,39,6.11911679,7.26315829
Zr,-9.05552653,-15.3911475,-14.7047625,40,6.335620970000001,5.649235969999999
Pd,-5.8681025,-6.067978,-6.574095999999999,46,0.1998755000000001,0.705993499999999
Ag,-3.29636956,-2.289673,-2.556536,47,-1.00669656,-0.7398335600000001
Cd,-1.1846131,-1.0288115,-1.498301,48,-0.15580159999999998,0.31368790000000013
Sb,-4.60355076,-1.3349985,-4.173539,51,-3.26855226,-0.4300117600000002
Te,-3.5806975266666665,-2.576814,-3.403316,52,-1.0038835266666664,-0.17738152666666673
I,-1.8104466875,-2.4164715,-3.071964,53,0.6060248125000001,1.2615173124999999
Cs,-0.95159238,-2.114578,-2.472028,55,1.1629856199999997,1.5204356199999998
Ba,-2.10747777,-7.304223,-7.291637000000001,56,5.19674523,5.184159230000001
La,-5.307630285,-11.387574499999998,-12.04149875,57,6.079944214999998,6.7338684650000005
Ce,-6.50143309,-11.811226,-12.368744,58,5.30979291,5.86731091
Re,-13.07938484,-15.73898,-14.1679265,75,2.6595951600000003,1.0885416600000006
Ir,-9.57782143,-8.482335,1.242187,77,-1.0954864299999993,-10.82000843
Pt,-6.86856429,-5.301645,-6.319259,78,-1.5669192900000004,-0.5493052900000004
Au,-3.865945905,-3.60021,-3.841771,79,-0.26573590499999966,-0.024174904999999747
Hg,-0.5691625616666667,-1.133833896551724,-0.7043278275862069,80,0.5646713348850574,0.13516526591954026
Th,-8.31706306,-15.369996,-15.96902,90,7.05293294,7.65195694
U,-12.000898465,-13.8301465,-15.5272175,92,1.829248034999999,3.526319035
Np,-13.6136995875,-17.00693775,-18.309997625,93,3.3932381624999994,4.696298037500002
Pu,-15.388523223125,-10.72200425,-0.1098279375,94,-4.666518973125001,-15.278695285625
